# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
ban ce 	半測	c=3 d=2.97025 t=6518
ban dao ti 	半導體	c=1 d=1 t=24211
ban fa 	辦法	c=7 d=1 t=29045
ban ge 	半個	c=2 d=1.00287 t=26377
ban ge xiao shi 	半個小時	c=2 d=1.8781 t=22969
ban gong shi 	辦公室	c=3 d=1 t=8457
ban jia 	搬家	c=1 d=1 t=3936
ban kuai 	板塊	c=1 d=1 t=1616
ban nian 	半年	c=5 d=3.28163 t=10695
ban shi 	辦事	c=1 d=1 t=7208
ban tian 	半天	c=1 d=1 t=26199
ban wan 	辦完	c=2 d=1.97045 t=6804
ban xiao shi 	半小時	c=2 d=1.00001 t=26383
ban ye 	半夜	c=1 d=1 t=21122
bang 	幫	c=2 d=1 t=18822
bang ding 	綁定	c=5 d=1 t=26014
bang mang 	幫忙	c=11 d=1.57984 t=21733
bang ni 	幫你	c=1 d=1 t=19082
bang wo 	幫我	c=5 d=1.52205 t=16441
bao 	保	c=2 d=1.70117 t=15962
bao 	包	c=14 d=1.77884 t=23444
bao 	報	c=8 d=2.1169 t=25297
bao 	寶	c=2 d=1.3624 t=22254
bao 	抱	c=3 d=1 t=17414
bao 	暴	c=1 d=1 t=25219
bao an 	保安	c=1 d=1 t=22039
bao bao 	寶寶	c=62 d=1 t=28121
bao bao bao bao 	寶寶寶寶	c=1 d=1 t=2287
bao bao xian zai 	寶寶現在	c=1 d=1 t=5885
bao bei 	寶貝	c=1 d=1 t=24721
bao cheng 	包成	c=0 d=0.1 t=23735
bao chi 	保持	c=2 d=1 t=26765
bao chu lai 	抱出來	c=2 d=1.93707 t=19109
bao cun 	保存	c=5 d=1.956 t=10584
bao cun zai 	保存在	c=1 d=1 t=23745
bao cuo 	報錯	c=13 d=1.00015 t=28980
bao han 	包含	c=6 d=1 t=23703
bao hu 	保護	c=1 d=1 t=13636
bao kuo 	包括	c=10 d=1.00947 t=28016
bao le 	飽了	c=1 d=1 t=17825
bao lei 	堡壘	c=0 d=0.1 t=18930
bao lei ji 	堡壘機	c=1 d=1 t=18931
bao liu 	保留	c=3 d=2.53062 t=18693
bao lu 	暴露	c=1 d=1 t=17745
bao ma 	寶馬	c=2 d=1.9802 t=19424
bao ming 	包名	c=1 d=1 t=21372
bao xian 	保險	c=17 d=1 t=21137
bao xiao 	報銷	c=3 d=2.2059 t=16079
bao zhang 	保障	c=1 d=1 t=588
bao zhe 	抱着	c=5 d=2.9316 t=19944
bao zheng 	保證	c=3 d=1 t=28058
bao zhuang 	包裝	c=5 d=1.70967 t=12595
bei 	倍	c=1 d=1 t=24209
bei 	北	c=1 d=1 t=21100
bei 	背	c=1 d=1 t=19249
bei 	被	c=73 d=1.19159 t=28310
bei bian 	北邊	c=1 d=1 t=10664
bei cheng wei 	被稱爲	c=1 d=1 t=26825
bei fen 	備份	c=1 d=1 t=14748
bei jing 	北京	c=13 d=1 t=22622
bei jing hu kou 	北京戶口	c=1 d=1 t=7480
bei ke 	貝殼	c=1 d=1 t=22761
bei li 	北里	c=0 d=0.1 t=10898
bei pai 	被拍	c=1 d=1 t=502
bei zhu 	備註	c=1 d=1 t=2240
bei zi 	杯子	c=1 d=1 t=29125
bei zi 	被子	c=1 d=1 t=18772
ben 	本	c=3 d=2.96536 t=9341
ben ben 	本本	c=1 d=1 t=18039
ben biao 	本表	c=1 d=1 t=13946
ben cao 	本曹	c=1 d=1 t=9338
ben di 	本地	c=4 d=1.00001 t=24643
ben ji 	本機	c=1 d=1 t=22080
ben lai 	本來	c=2 d=1 t=21693
ben ren 	本人	c=3 d=1 t=12705
ben shen 	本身	c=3 d=1 t=24000
ben shi 	本事	c=1 d=1 t=7195
ben wen 	本文	c=1 d=1 t=807
ben zhi 	本質	c=3 d=1.00001 t=19292
ben zhong 	笨重	c=1 d=1 t=13626
bi 	比	c=5 d=1 t=24156
bi bao 	閉包	c=2 d=1.94176 t=10950
bi duan 	弊端	c=1 d=1 t=15727
bi ji 	筆記	c=15 d=1.14349 t=24137
bi ji ben 	筆記本	c=1 d=1 t=1813
bi jiao 	比較	c=7 d=1 t=28727
bi jiao man 	比較慢	c=1 d=1 t=24589
bi jiao shu 	比較熟	c=1 d=1 t=15018
bi jiao xiao 	比較小	c=1 d=1 t=19533
bi jiao xin 	比較新	c=1 d=1 t=870
bi jiao yi 	比較儀	c=0 d=0.1 t=6768
bi jiao yi xia 	比較儀下	c=1 d=1 t=6769
bi lv 	比率	c=1 d=1 t=18210
bi mian 	避免	c=4 d=1 t=25787
bi ru 	比如	c=24 d=1.0076 t=24640
bi xian 	避嫌	c=1 d=1 t=16390
bi xu 	必須	c=8 d=1.33627 t=25794
bi xu yao 	必須要	c=2 d=1 t=26263
bi yao 	必要	c=5 d=1.71892 t=12475
bi zi 	鼻子	c=1 d=1 t=18752
bian 	便	c=1 d=1 t=12052
bian 	變	c=2 d=1 t=25119
bian 	邊	c=2 d=1 t=21101
bian bian 	便便	c=3 d=1.13134 t=11658
bian cheng 	編程	c=5 d=1 t=29299
bian cheng 	變成	c=1 d=1 t=20339
bian dong 	變動	c=3 d=1 t=23268
bian geng 	變更	c=1 d=1 t=22534
bian hao 	編號	c=5 d=1.40053 t=4744
bian ji 	編輯	c=3 d=1 t=29243
bian ji qi 	編輯器	c=2 d=1.99005 t=9527
bian jie 	邊界	c=1 d=1 t=20440
bian li 	便利	c=1 d=1 t=18003
bian li 	遍歷	c=1 d=1 t=25073
bian liang 	變量	c=16 d=3.01824 t=26281
bian ma 	編碼	c=13 d=1.32402 t=27982
bian ti 	變體	c=1 d=1 t=16706
bian xian 	變現	c=1 d=1 t=26613
bian xiang 	變相	c=1 d=1 t=26571
bian xie 	編寫	c=1 d=1 t=25793
bian yi 	編譯	c=11 d=1.00008 t=28213
bian yi jie duan 	編譯階段	c=1 d=1 t=23694
bian yi qi 	編譯器	c=3 d=2.06201 t=23788
bian yi xi tong 	編譯系統	c=1 d=1 t=24297
bian yu 	便於	c=2 d=1.91851 t=10799
biao 	標	c=1 d=0.32091 t=25093
biao 	表	c=39 d=0.259787 t=29420
biao cheng 	標稱	c=1 d=1 t=25519
biao da 	表達	c=3 d=1.67614 t=13738
biao da shi 	表達式	c=7 d=1.05796 t=29379
biao dai 	錶帶	c=1 d=1 t=20159
biao ge 	表格	c=2 d=1.62189 t=602
biao ji 	標記	c=33 d=2.07066 t=20674
biao ji lv 	標記率	c=1 d=1 t=17330
biao ji yong hu 	標記用戶	c=1 d=1 t=20662
biao jie gou 	表結構	c=4 d=1.67368 t=19717
biao li 	表裏	c=1 d=1 t=8689
biao pan 	錶盤	c=1 d=1 t=20119
biao qian 	標籤	c=8 d=1 t=25301
biao qing 	表情	c=1 d=1 t=18915
biao shi 	標識	c=1 d=1 t=25400
biao shi 	表示	c=52 d=1.0034 t=29298
biao shi fa 	表示法	c=4 d=1.00013 t=27464
biao shi fang fa 	表示方法	c=1 d=1 t=25440
biao ti 	標題	c=4 d=2.06923 t=9717
biao xian 	表現	c=1 d=1 t=12465
biao zhu 	標註	c=2 d=1 t=11233
biao zhun 	標準	c=6 d=2.67091 t=25856
bie 	別	c=16 d=1.05208 t=28475
bie chi 	別喫	c=1 d=1 t=8018
bie chi le 	別喫了	c=1 d=1 t=12088
bie deng wo le 	別等我了	c=1 d=1 t=360
bie huang 	別慌	c=1 d=1 t=4805
bie lai 	別來	c=1 d=1 t=21569
bie mai 	別買	c=1 d=1 t=9157
bie ren 	別人	c=2 d=1 t=23559
bie ren jia 	別人家	c=1 d=1 t=2151
bie wang le 	別忘了	c=1 d=1 t=9314
bie yong 	別用	c=1 d=1 t=24311
bie zhao ji 	別着急	c=4 d=1.99501 t=21333
bin lang 	檳榔	c=1 d=1 t=14747
bing 	並	c=32 d=1 t=28551
bing 	餅	c=2 d=1 t=18596
bing ba 	並把	c=1 d=1 t=24657
bing bu 	並不	c=2 d=1 t=15296
bing bu hui 	並不會	c=1 d=1 t=13177
bing bu neng 	並不能	c=1 d=1 t=3514
bing bu shi 	並不是	c=2 d=1 t=15219
bing bu xu yao 	並不需要	c=1 d=1 t=14402
bing du 	病毒	c=1 d=1 t=720
bing fa 	併發	c=9 d=1 t=28049
bing jing 	冰晶	c=3 d=1.04287 t=18689
bing mei you 	並沒有	c=1 d=1 t=15696
bing qie 	並且	c=6 d=1 t=23108
bing wei 	並未	c=1 d=1 t=11926
bing xiang 	冰箱	c=4 d=1.84367 t=19954
bing xing 	並行	c=5 d=2.56146 t=25054
bing zai 	並在	c=1 d=1 t=14439
bo 	柏	c=2 d=1 t=27887
bo fang 	播放	c=1 d=1 t=24535
bo fang qi 	播放器	c=2 d=1 t=24539
bo hui 	駁回	c=18 d=2.51026 t=9231
bo ke 	博客	c=2 d=1 t=29279
bu 	不	c=163 d=3.29734 t=29387
bu 	補	c=2 d=1 t=16673
bu an quan 	不安全	c=2 d=1.66365 t=24802
bu bi yao 	不必要	c=2 d=1 t=17038
bu bian 	不變	c=3 d=1.8825 t=26767
bu chang yong 	不常用	c=1 d=1 t=28241
bu chi 	不喫	c=3 d=1.98511 t=27752
bu chong 	補充	c=9 d=1.00167 t=29085
bu chu 	不出	c=0 d=0.1 t=2568
bu cun zai 	不存在	c=1 d=1 t=28514
bu cuo 	不錯	c=4 d=1 t=17226
bu cuo bu cuo 	不錯不錯	c=1 d=1 t=9326
bu da 	不大	c=5 d=1.03271 t=29566
bu da 	不打	c=1 d=1 t=591
bu da hao 	不大好	c=1 d=1 t=6862
bu dao 	不到	c=3 d=1 t=29183
bu deng yu 	不等於	c=2 d=1.87372 t=18808
bu ding 	布丁	c=2 d=1 t=21485
bu ding 	補丁	c=1 d=1 t=21486
bu dong 	不懂	c=1 d=1 t=28221
bu dou 	布兜	c=1 d=1 t=27362
bu dui 	不對	c=3 d=1 t=24912
bu duo 	不多	c=3 d=1.00595 t=29281
bu er 	布爾	c=4 d=2.39417 t=25949
bu er zhi 	布爾值	c=2 d=1.90937 t=12884
bu fen 	不分	c=3 d=1 t=19576
bu fen 	部分	c=8 d=1.00209 t=29217
bu gai 	不改	c=1 d=1 t=26304
bu gou 	不夠	c=5 d=1 t=28666
bu gou yong 	不夠用	c=1 d=1 t=13480
bu guan 	不管	c=4 d=1 t=29179
bu guan xi 	不關係	c=1 d=1 t=14304
bu guan zen yang 	不管怎樣	c=1 d=1 t=23865
bu guo 	不過	c=20 d=1.18595 t=27250
bu hai pa 	不害怕	c=1 d=1 t=4739
bu hao 	不好	c=7 d=1.00007 t=24710
bu hao kan 	不好看	c=1 d=1 t=9208
bu hao shuo 	不好說	c=1 d=1 t=7513
bu he shi 	不合適	c=2 d=1.18087 t=29529
bu hui 	不會	c=13 d=1.00008 t=21241
bu huo 	捕獲	c=1 d=1 t=2533
bu jian 	部件	c=1 d=1 t=23903
bu jian rong 	不兼容	c=2 d=1 t=27919
bu jian yi 	不建議	c=2 d=1 t=29345
bu jiao 	補交	c=1 d=1 t=6187
bu jin 	不僅	c=0 d=0.1 t=774
bu jin chou 	不僅丑	c=1 d=1 t=775
bu jin xing 	不進行	c=1 d=1 t=5911
bu jiu shi 	不就是	c=2 d=1.86936 t=28245
bu ju 	佈局	c=2 d=1.98511 t=1542
bu jue 	不覺	c=0 d=0.1 t=19148
bu kai che 	不開車	c=1 d=1 t=10150
bu ke jian 	不可見	c=1 d=1 t=25712
bu ke neng 	不可能	c=2 d=1 t=26783
bu ke yi 	不可以	c=1 d=1 t=7669
bu kun 	不困	c=1 d=1 t=22779
bu leng 	不冷	c=1 d=1 t=22840
bu liang 	不良	c=1 d=1 t=1501
bu ma 	補碼	c=8 d=3.53687 t=27056
bu mang 	不忙	c=3 d=1.30728 t=23877
bu men 	部門	c=1 d=1 t=29524
bu neng 	不能	c=19 d=1.02375 t=26774
bu neng ba 	不能吧	c=1 d=1 t=7671
bu neng kai 	不能開	c=1 d=1 t=21432
bu neng wei kong 	不能爲空	c=7 d=1 t=9483
bu nu li 	不努力	c=1 d=1 t=3819
bu pei 	不配	c=1 d=1 t=26234
bu qing xi 	不清晰	c=1 d=1 t=4414
bu qu 	不去	c=2 d=1 t=28128
bu quan 	補全	c=2 d=1.71534 t=1020
bu que ding 	不確定	c=2 d=1 t=13905
bu ran 	不然	c=11 d=1.00093 t=27943
bu rang 	不讓	c=1 d=0.1 t=25333
bu rang chi 	不讓喫	c=1 d=1 t=17346
bu rang wo 	不讓我	c=1 d=1 t=3726
bu rang yong 	不讓用	c=1 d=1 t=25334
bu ru 	不如	c=3 d=1.98422 t=7268
bu shang 	不上	c=3 d=1.00312 t=22905
bu shang lai 	不上來	c=1 d=1 t=29450
bu shao 	不少	c=2 d=1 t=18685
bu shao qian 	不少錢	c=1 d=1 t=10199
bu shao ren 	不少人	c=1 d=1 t=3775
bu she zhi 	不設置	c=1 d=1 t=24946
bu shen 	不深	c=6 d=3.95566 t=28889
bu sheng xiao 	不生效	c=1 d=1 t=28975
bu shi 	不是	c=45 d=1.51923 t=29189
bu shi he 	不適合	c=1 d=1 t=19314
bu shi shuo 	不是說	c=1 d=1 t=23873
bu shi wen ni 	不是問你	c=1 d=1 t=8521
bu shi yi ge 	不是一個	c=0 d=0.1 t=27733
bu shi yi ge shu 	不是一個數	c=1 d=1 t=27734
bu shi yong 	不使用	c=2 d=1 t=12411
bu shu 	部署	c=9 d=1.84366 t=26221
bu shuang 	不爽	c=1 d=1 t=2975
bu shui 	不睡	c=1 d=1 t=451
bu shuo 	不說	c=1 d=1 t=3864
bu shuo hua 	不說話	c=1 d=1 t=5687
bu suan duo 	不算多	c=1 d=1 t=16329
bu ting 	不停	c=1 d=1 t=16194
bu tong 	不同	c=18 d=1.00461 t=28690
bu tou feng 	不透風	c=1 d=1 t=21070
bu wan 	不晚	c=1 d=1 t=24678
bu wen 	不問	c=1 d=1 t=3019
bu wen 	不穩	c=2 d=1.9802 t=7192
bu wen ding 	不穩定	c=1 d=1 t=11157
bu xi huan 	不喜歡	c=1 d=1 t=16156
bu xia qu 	不下去	c=0 d=0.1 t=16174
bu xiang 	不像	c=1 d=1 t=23855
bu xiang 	不想	c=1 d=1 t=3672
bu xiang tong 	不相同	c=1 d=1 t=24396
bu xing 	不行	c=20 d=1.00003 t=27373
bu xing zai shuo 	不行再說	c=1 d=1 t=25021
bu xu yao 	不需要	c=5 d=1 t=27849
bu yao 	不要	c=9 d=1 t=29147
bu ye 	不也	c=1 d=1 t=1329
bu ye shi 	不也是	c=1 d=1 t=14632
bu yi yang 	不一樣	c=9 d=1.21225 t=23871
bu yi zhi 	不一致	c=3 d=1.95123 t=23530
bu ying gai 	不應該	c=1 d=1 t=26213
bu yong 	不用	c=20 d=1 t=29373
bu yong zhao ji 	不用着急	c=1 d=1 t=25178
bu you ya 	不優雅	c=1 d=1 t=16932
bu yuan 	不遠	c=1 d=1 t=6068
bu zai 	不再	c=1 d=1 t=6716
bu zen me 	不怎麼	c=0 d=0.1 t=21264
bu zen me hao 	不怎麼好	c=1 d=1 t=21265
bu zhao ji 	不着急	c=3 d=1 t=11143
bu zhi 	不知	c=1 d=1 t=11504
bu zhi chi 	不支持	c=5 d=1 t=22453
bu zhi dao 	不知道	c=37 d=1.00075 t=29430
bu zhi qing 	不知情	c=1 d=1 t=3162
bu zhi shi 	不只是	c=1 d=1 t=19582
bu zhou 	步驟	c=2 d=1.00008 t=15317
bu zhuo 	捕捉	c=3 d=2.66689 t=15813
bu zou 	不走	c=2 d=1.99501 t=1749
bu zu yi 	不足以	c=1 d=1 t=14494
bu zuo 	不做	c=4 d=1.97546 t=6934
cai 	才	c=14 d=1 t=26201
cai hui 	纔會	c=1 d=1 t=13647
cai ji 	採集	c=17 d=4.95775 t=26580
cai liao 	材料	c=4 d=1.8311 t=11478
cai neng 	才能	c=14 d=1 t=28266
cai neng shui 	才能睡	c=1 d=1 t=19934
cai neng zou 	才能走	c=1 d=1 t=365
cai niao 	菜鳥	c=2 d=1.88692 t=2480
cai qu 	採取	c=1 d=1 t=28056
cai se 	彩色	c=3 d=1 t=29514
cai yang 	採樣	c=1 d=1 t=11713
cai yong 	採用	c=4 d=1.914 t=25707
cai yong le 	採用了	c=1 d=1 t=24227
cai you 	纔有	c=3 d=1.51171 t=11985
cai zhi dao 	纔知道	c=3 d=0.100007 t=24567
can 	參	c=1 d=1 t=20033
can 	慘	c=1 d=1 t=16231
can jia 	參加	c=2 d=1.90937 t=14039
can jian 	參見	c=1 d=1 t=1143
can shu 	參數	c=34 d=1.15188 t=25917
can yu 	參與	c=2 d=1 t=26134
can zhao 	參照	c=1 d=1 t=13390
cao 	曹	c=4 d=1 t=29488
cao hong sheng 	曹洪昇	c=4 d=1 t=21142
cao zuo 	操作	c=34 d=0.187161 t=29301
cao zuo fu 	操作符	c=1 d=1 t=29302
cao zuo xi tong 	操作系統	c=8 d=2.56943 t=24600
ce 	冊	c=1 d=1 t=1417
ce 	測	c=7 d=1.99501 t=21972
ce ce 	測測	c=1 d=1 t=15504
ce lve 	策略	c=1 d=1 t=29322
ce shi 	測試	c=19 d=2.79913 t=26491
ce shi fu 	測試服	c=37 d=1.00564 t=28553
ce shi fu shang 	測試服上	c=1 d=1 t=6433
ce shi fu wu qi 	測試服務器	c=1 d=1 t=22060
ce shi huan jing 	測試環境	c=8 d=1.06925 t=22074
ce shi shu ju ku 	測試數據庫	c=1 d=1 t=7736
ceng 	層	c=10 d=1 t=23436
ceng ci 	層次	c=1 d=0.1 t=24250
ceng ci jie gou 	層次結構	c=4 d=3.43546 t=24306
ceng mian 	層面	c=1 d=1 t=3142
cha 	差	c=3 d=1 t=23493
cha 	插	c=2 d=1.44264 t=22082
cha 	查	c=20 d=4.70311 t=29204
cha 	茶	c=1 d=1 t=29108
cha bie 	差別	c=1 d=1 t=12756
cha bu dao 	查不到	c=1 d=1 t=24508
cha bu duo 	差不多	c=5 d=1.02423 t=22169
cha cao 	插槽	c=1 d=1 t=24016
cha cha 	查查	c=3 d=1.99005 t=29041
cha chu 	查處	c=2 d=1.00896 t=20596
cha dao 	查到	c=1 d=1 t=2122
cha jian 	插件	c=15 d=1.97058 t=9534
cha ju 	差距	c=1 d=1 t=24216
cha jue 	察覺	c=2 d=1 t=27110
cha kan 	查看	c=11 d=1 t=26899
cha le 	查了	c=0 d=0.1 t=16623
cha ru 	插入	c=5 d=1.00041 t=25237
cha wan le 	查完了	c=1 d=1 t=2059
cha xun 	查詢	c=69 d=1.84325 t=29348
cha yi 	差異	c=1 d=1 t=24222
cha yi xia 	查一下	c=2 d=1 t=21625
cha zai 	插在	c=1 d=1 t=24014
cha zhao 	查找	c=6 d=3.06218 t=29438
chai 	拆	c=1 d=1 t=12401
chai fen 	拆分	c=4 d=1 t=28692
chan 	摻	c=1 d=1 t=22886
chan 	饞	c=1 d=1 t=28192
chan jia 	產假	c=1 d=1 t=17933
chan pin 	產品	c=2 d=1 t=23007
chan sheng 	產生	c=4 d=1.00124 t=27100
chang 	暢	c=3 d=1 t=14079
chang 	長	c=5 d=1.92774 t=23940
chang chang 	常常	c=1 d=1 t=13430
chang du 	長度	c=9 d=1.00006 t=29413
chang gui 	常規	c=1 d=1 t=12524
chang jian 	常見	c=5 d=1.00677 t=26752
chang jing 	場景	c=4 d=1 t=19684
chang kuan 	長寬	c=1 d=1 t=27238
chang liang 	常量	c=1 d=1 t=12972
chang ping 	昌平	c=3 d=1.61528 t=4338
chang qi 	長期	c=3 d=2.39284 t=15926
chang shu 	常數	c=1 d=1 t=26979
chang shu 	常熟	c=1 d=1 t=26978
chang tu 	長途	c=1 d=1 t=21093
chang yan 	腸炎	c=1 d=1 t=8063
chang yong 	常用	c=1 d=1 t=29300
chang yong de 	常用的	c=1 d=1 t=28812
chao 	超	c=1 d=1 t=15941
chao chu 	超出	c=1 d=1 t=13599
chao guo 	超過	c=1 d=1 t=23118
chao ji 	超級	c=2 d=1 t=23483
chao ji guan li yuan 	超級管理員	c=1 d=1 t=5920
chao neng 	超能	c=1 d=1 t=24540
chao shi 	超市	c=3 d=1 t=27276
chao shi 	超時	c=7 d=1 t=28948
chao shi shi jian 	超時時間	c=1 d=1 t=24949
che 	車	c=7 d=1.00756 t=28793
che dao 	車道	c=1 d=1 t=4921
che li 	車裏	c=1 d=1 t=4917
che wei 	車位	c=1 d=1 t=23722
chen 	晨	c=1 d=1 t=17722
chen guang 	晨光	c=1 d=1 t=20566
chen zhe 	趁着	c=1 d=1 t=19338
cheng 	成	c=17 d=0.100057 t=28021
cheng du 	程度	c=2 d=1.97531 t=26501
cheng fa 	乘法	c=3 d=2.12542 t=27088
cheng gong 	成功	c=30 d=1 t=28159
cheng shu 	成熟	c=1 d=1 t=13471
cheng wei 	成爲	c=1 d=1 t=15471
cheng wei 	稱爲	c=9 d=1.00003 t=27732
cheng xu 	程序	c=24 d=3.13645 t=28072
cheng xu bian ma 	程序編碼	c=1 d=1 t=27983
cheng xu wen ben 	程序文本	c=1 d=1 t=23680
cheng xu wen jian 	程序文件	c=1 d=1 t=23687
cheng xu xing neng 	程序性能	c=1 d=1 t=24277
cheng xu yuan 	程序員	c=8 d=1.00079 t=27131
cheng xu zhong 	程序中	c=1 d=1 t=23821
cheng yi 	乘以	c=1 d=1 t=26977
cheng yuan 	成員	c=2 d=1.96561 t=11310
cheng zuo 	稱作	c=2 d=1 t=23893
chi 	喫	c=25 d=1.01214 t=29257
chi chuan 	喫穿	c=2 d=1.66034 t=7173
chi cun 	尺寸	c=1 d=1 t=22992
chi dao 	遲到	c=1 d=1 t=5624
chi dian 	喫點	c=3 d=1.37531 t=20722
chi fan 	喫飯	c=45 d=1.98144 t=29250
chi ge 	喫個	c=1 d=1 t=28098
chi le 	喫了	c=0 d=0.1 t=12087
chi le fan 	喫了飯	c=1 d=1 t=17968
chi nai 	喫奶	c=1 d=1 t=19287
chi sha 	癡傻	c=1 d=1 t=20716
chi wan 	喫完	c=1 d=1 t=11685
chi xu 	持續	c=1 d=1 t=24218
chi yao 	喫藥	c=2 d=1.12124 t=11681
chi you 	持有	c=2 d=1.956 t=11864
chong 	蟲	c=2 d=1.00027 t=25104
chong 	衝	c=2 d=1.00137 t=28497
chong 	重	c=0 d=0.1 t=23739
chong dian 	充電	c=2 d=1.98511 t=17268
chong dian qi 	充電器	c=1 d=1 t=17263
chong ding wei 	重定位	c=1 d=1 t=23740
chong fu 	重複	c=11 d=1 t=25246
chong fu ti jiao 	重複提交	c=1 d=1 t=7611
chong gong 	充公	c=1 d=1 t=17178
chong gou 	重構	c=8 d=1 t=22604
chong jian 	重建	c=2 d=1.91393 t=19760
chong ming ming 	重命名	c=3 d=1.00071 t=21178
chong qi 	重啓	c=3 d=1 t=22282
chong she 	重設	c=1 d=1 t=216
chong shi 	充實	c=1 d=1 t=23867
chong shi 	重試	c=1 d=1 t=28953
chong shu 	充數	c=1 d=1 t=3631
chong tu 	衝突	c=9 d=1 t=29394
chong xie 	重寫	c=2 d=1.02411 t=6299
chong xin 	重新	c=22 d=1.51685 t=28971
chong xun 	衝尋	c=1 d=1 t=28972
chong yin 	沖印	c=7 d=1.0442 t=28389
chong zhi 	充值	c=21 d=1.96561 t=28965
chong zhi 	重置	c=1 d=1 t=9164
chong zhi shi bai 	充值失敗	c=1 d=1 t=8616
chou 	丑	c=4 d=3.07295 t=927
chou 	抽	c=2 d=1.52994 t=9259
chou li 	抽離	c=1 d=1 t=17062
chou xiang 	抽象	c=9 d=1.00689 t=29197
chou xiang lei 	抽象類	c=2 d=1.46533 t=28816
chu 	出	c=9 d=1 t=26163
chu 	處	c=2 d=1 t=17578
chu 	除	c=1 d=1 t=11833
chu ban she 	出版社	c=1 d=1 t=23459
chu bu 	初步	c=1 d=1 t=2437
chu chai 	出差	c=1 d=1 t=18819
chu chang 	出廠	c=1 d=1 t=27827
chu chu 	處處	c=1 d=1 t=19150
chu cuo 	出錯	c=3 d=1 t=22298
chu fa 	出發	c=1 d=1 t=14753
chu fa 	觸發	c=1 d=1 t=11002
chu fa 	除法	c=1 d=1 t=27090
chu jie 	出借	c=0 d=0.1 t=11826
chu jie guo 	出借過	c=1 d=1 t=11827
chu lai 	出來	c=13 d=2.47589 t=27392
chu lai rong yi 	出來容易	c=1 d=1 t=7471
chu le 	除了	c=13 d=1 t=26125
chu li 	處理	c=44 d=1.02523 t=29547
chu li qi 	處理器	c=10 d=1.83946 t=28038
chu ming 	出名	c=1 d=1 t=27254
chu qu 	出去	c=8 d=1 t=26893
chu qu ba 	出去吧	c=1 d=1 t=9767
chu ru 	出入	c=1 d=1 t=12196
chu shi hua 	初始化	c=2 d=0.1 t=27791
chu shi hua yi xia 	初始化一下	c=1 d=1 t=27792
chu wen ti 	出問題	c=1 d=1 t=20800
chu xian 	出現	c=10 d=1.41478 t=27877
chu yi 	除以	c=1 d=1 t=26980
chu yu 	出於	c=1 d=1 t=15146
chu yuan 	出院	c=1 d=1 t=11372
